"Postnr","Bynavn","KommuneID","Kommune","Region","Formidlingsaftaledato","Salgsdato","EjTypeNr","EjdType","Boligtilstand","Udbudspris","Kontantpris","Grundvaerdi","Vurderingsaar","EjdVurdering","Foraeldrekoeb","MaeglersVaerdiansaettelse","Boligareal","Kaelderareal","Grundareal","Opfoerelsesaar","Ombygningsaar","AntalPlan","NytKokken","NytTag","Tilbygning","AntalToiletter","Vaskemaskine","NyeVinduer","NytBadevaerelse","AfstandTilCity","BebyggetAreal","AntalSovevaerelser","AfstandDagligvarer","AfstandSkole","AfstandOffentligTransport","Elevator","Gaardmiljoe","Altan","TaetVedVand","Toilet","Bad","Energimaerke","Ydervaegge","GarageCarport","Studiebolig","HvilkenEtage","FuldAdresse","id","xkoor","ykoor","long","lat"
9260,"Gistrup",851,"Aalborg","Nordjylland","01-03-2013","24-11-2014",15,"Helaarsgrund",NA,1075000,950000,611100,2012,611100,NA,995000,NA,NA,709,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 27",NA,559259.57,6318814.47,9.99884471,56.99634823
9260,"Gistrup",851,"Aalborg","Nordjylland","30-03-2010","29-04-2010",1,"Andel-/Aktiebolig","God",998000,925000,NA,NA,NA,NA,NA,109,0,400,1984,NA,1,NA,NA,NA,1,NA,NA,NA,"7000",0,"3","600","700","150",NA,"Nej",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stammen 8C",NA,559842.91,6317419.72,10.00073092,56.99559844
9260,"Gistrup",851,"Aalborg","Nordjylland","10-02-2014","14-04-2014",15,"Helaarsgrund",NA,995000,995000,500000,2011,500000,NA,995000,NA,NA,797,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 73",NA,559095.51,6318680.3,9.99676921,56.99742785
9260,"Gistrup",851,"Aalborg","Nordjylland","01-03-2013","25-03-2013",17,"Villa, 1 fam.","God",2998000,2825000,508600,2011,2250000,NA,2998000,175,0,653,2007,NA,1,NA,0,0,2,NA,NA,NA,"7000",175,"0","1000","2000","50","0","0","0",NA,NA,NA,"B","Traebeklaedning",30,NA,NA,"Broagervej 2",NA,560174.99,6318622.14,9.99709325,56.99744306
9260,"Gistrup",851,"Aalborg","Nordjylland","27-05-2015","27-05-2015",17,"Villa, 1 fam.","God",1595000,1150000,182700,2013,1050000,NA,1150000,119,80,762,1968,1982,2,NA,0,1982,1,NA,NA,NA,"20000",141,"4","800","800","1000","0","0","0",NA,NA,NA,"E",NA,0,NA,NA,"Bjørnbakvej 15",NA,562127,6309585.97,9.99973809,56.9963623
9260,"Gistrup",851,"Aalborg","Nordjylland","01-03-2013","20-05-2014",15,"Helaarsgrund",NA,995000,795000,620500,2012,620500,NA,795000,NA,NA,732,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 1",NA,559288.33,6318842.11,9.99884471,56.99634823
9260,"Gistrup",851,"Aalborg","Nordjylland","07-11-2014","04-12-2014",15,"Helaarsgrund","God",995000,850000,631400,2012,631400,NA,895000,NA,NA,759,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 5",NA,559276.91,6318789.73,9.99925597,56.99642427
9260,"Gistrup",851,"Aalborg","Nordjylland","21-03-2011","29-04-2011",17,"Villa, 1 fam.","Middel",1345000,1300000,145400,2009,1250000,NA,NA,124,0,500,1985,1996,1,NA,NA,1996,1,NA,NA,NA,"9000",124,"3","2000","350","500",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Opalvej 2 B",NA,558328.04,6315019.05,9.99973809,56.9963623
9260,"Gistrup",851,"Aalborg","Nordjylland","23-06-2014","21-10-2014",17,"Villa, 1 fam.","God",2085000,2000000,234800,2013,1000000,NA,1995000,169,0,705,1967,NA,2,NA,2003,0,2,NA,NA,NA,"10000",107,"6","2500","500","500","0","0","0",NA,NA,NA,"C","Mursten (tegl, kalksten, cementsten)",37,NA,NA,"Diamantvej 7",NA,558435.49,6315069.82,9.99709325,56.99744306
9260,"Gistrup",851,"Aalborg","Nordjylland","12-01-2012","05-03-2012",7,"Raekkehus","God",1545000,1390000,360000,2009,1300000,NA,1345000,91,0,400,1982,NA,1,NA,0,0,1,NA,NA,NA,"0",91,"0","1000","1600","650","0","0","0",NA,NA,NA,NA,"Mursten (tegl, kalksandsten, cementsten)",20,NA,"0","Toppen 62",NA,559736.75,6317844.41,9.99977069,56.99751056
